,precision,recall,f1-score,support
0,0.96,0.975,0.967,707.0
1,0.985,0.976,0.981,764.0
2,0.939,0.957,0.948,705.0
3,0.948,0.935,0.942,741.0
4,0.96,0.958,0.959,668.0
5,0.944,0.941,0.943,630.0
6,0.964,0.976,0.97,680.0
7,0.954,0.969,0.961,668.0
8,0.952,0.939,0.946,694.0
9,0.959,0.939,0.949,743.0
accuracy,0.957,0.957,0.957,0.957
macro avg,0.956,0.957,0.957,7000.0
weighted avg,0.957,0.957,0.957,7000.0
