,precision,recall,f1-score,support
0,0.956,0.959,0.958,707.0
1,0.953,0.973,0.962,764.0
2,0.906,0.906,0.906,705.0
3,0.919,0.903,0.911,741.0
4,0.918,0.921,0.919,668.0
5,0.886,0.89,0.888,630.0
6,0.96,0.946,0.953,680.0
7,0.928,0.946,0.937,668.0
8,0.893,0.875,0.884,694.0
9,0.894,0.895,0.894,743.0
accuracy,0.922,0.922,0.922,0.922
macro avg,0.921,0.921,0.921,7000.0
weighted avg,0.922,0.922,0.922,7000.0
